image,humans,cars
0000001_02999_d_0000005.jpg,28,16
0000001_03499_d_0000006.jpg,39,19
0000001_03999_d_0000007.jpg,48,3
0000001_04527_d_0000008.jpg,71,4
0000001_05249_d_0000009.jpg,14,83
0000001_05499_d_0000010.jpg,19,74
0000001_05999_d_0000011.jpg,72,41
0000001_07999_d_0000012.jpg,63,10
0000001_08414_d_0000013.jpg,76,17
0000021_00000_d_0000001.jpg,11,0
0000021_00500_d_0000002.jpg,12,0
0000021_00800_d_0000003.jpg,5,0
0000022_00000_d_0000004.jpg,30,1
0000022_00500_d_0000005.jpg,22,0
0000022_01036_d_0000006.jpg,9,0
0000022_01251_d_0000007.jpg,12,0
0000023_00000_d_0000008.jpg,30,1
0000023_00300_d_0000009.jpg,21,1
0000023_00868_d_0000010.jpg,11,0
0000023_01233_d_0000011.jpg,10,0
0000024_00000_d_0000012.jpg,11,0
0000024_00500_d_0000013.jpg,6,0
0000024_01000_d_0000014.jpg,5,0
0000024_01543_d_0000015.jpg,7,0
0000026_00000_d_0000024.jpg,1,7
0000026_00500_d_0000025.jpg,5,12
0000026_01000_d_0000026.jpg,3,20
0000026_01500_d_0000027.jpg,1,11
0000026_02000_d_0000028.jpg,0,12
0000026_02500_d_0000029.jpg,10,5
0000026_03000_d_0000030.jpg,0,12
0000026_03500_d_0000031.jpg,1,19
0000026_04000_d_0000032.jpg,0,14
0000026_04500_d_0000033.jpg,5,32
0000026_04978_d_0000034.jpg,5,27
0000055_00000_d_0000109.jpg,61,0
0000055_00714_d_0000110.jpg,69,4
0000069_00001_d_0000001.jpg,26,0
0000069_00483_d_0000002.jpg,27,0
0000069_00713_d_0000003.jpg,48,0
0000069_01109_d_0000004.jpg,22,0
0000069_01878_d_0000005.jpg,32,0
0000069_02163_d_0000006.jpg,34,3
0000069_02480_d_0000007.jpg,36,11
0000072_02834_d_0000003.jpg,87,1
0000076_02142_d_0000009.jpg,5,1
0000081_00000_d_0000001.jpg,197,0
0000086_00000_d_0000001.jpg,34,0
0000086_00592_d_0000002.jpg,52,1
0000086_01084_d_0000003.jpg,116,2
