frame,id,cls,x1,y1,x2,y2,conf
0,1,car,947,589,1011,684,0.8863080739974976
0,2,car,868,568,926,664,0.8733636140823364
0,3,car,606,361,706,415,0.8713820576667786
0,4,car,878,704,942,814,0.857337474822998
0,5,car,702,340,804,410,0.8359504342079163
0,6,car,749,321,828,379,0.8310781121253967
0,7,car,768,288,808,330,0.7829877138137817
0,8,human,578,449,597,488,0.7425298690795898
0,9,car,782,237,823,289,0.7135282754898071
0,10,car,803,21,831,53,0.6756143569946289
0,11,human,867,405,881,432,0.6749210953712463
0,12,human,632,212,648,244,0.6578890085220337
0,13,car,783,184,811,221,0.6135680675506592
0,14,human,864,251,878,276,0.6125269532203674
0,15,human,616,214,629,245,0.6001123785972595
0,16,human,863,315,877,342,0.5992043614387512
0,17,car,582,74,613,106,0.5957227349281311
0,18,car,688,129,766,165,0.5878710150718689
0,19,car,694,115,758,144,0.5759574174880981
0,20,car,677,256,722,307,0.5734475255012512
0,21,human,798,511,816,546,0.5721341371536255
0,22,human,938,392,955,425,0.5576009154319763
0,23,human,861,201,873,223,0.5256505012512207
0,24,human,879,217,891,240,0.5139350295066833
0,25,human,935,244,949,268,0.5079315304756165
0,26,human,973,792,996,829,0.4943494498729706
0,27,human,843,450,859,476,0.49053341150283813
0,28,car,800,47,825,74,0.4685101807117462
0,29,human,848,27,857,44,0.4605315029621124
0,30,human,847,250,861,276,0.4572316110134125
0,31,human,867,48,877,66,0.43779370188713074
0,32,human,877,8,886,26,0.4300137758255005
0,33,human,849,120,859,140,0.4054068922996521
0,34,human,636,173,648,196,0.3704514503479004
0,35,human,854,90,864,107,0.26087167859077454
0,36,human,456,561,474,592,0.25768691301345825
0,37,human,812,172,825,191,0.2500198483467102
3,14,human,865,250,881,278,0.39140138030052185
4,174,car,949,201,992,246,0.8397361636161804
4,2,car,857,552,908,634,0.8760720491409302
4,9,car,788,258,836,317,0.866890013217926
4,10,car,792,12,823,46,0.5571609139442444
4,19,car,684,90,780,134,0.7951870560646057
5,174,car,944,207,992,258,0.8216592669487
5,202,car,729,476,811,557,0.8888315558433533
5,204,car,823,504,901,581,0.8852250576019287
5,207,car,889,194,948,245,0.8006155490875244
5,208,car,700,294,763,355,0.7987158894538879
5,213,car,1016,198,1072,245,0.7756185531616211
5,9,car,771,259,818,314,0.8112181425094604
5,1,car,959,569,1019,656,0.8919392228126526
